77 hits shown

3,29,-506
1968,-27,25,-511
1970,-24,29,-510
1972,-23,29,-508
1974,-24,32,-509
1976,-24,28,-511
1978,-25,30,-509
1980,-27,28,-510
1981,-24,28,-511
1983,-25,28,-509
1985,-28,31,-511
1987,-23,30,-509
1989,-25,30,-507
1991,-24,27,-510
1993,-25,27,-509
1994,-21,26,-510
1996,-24,29,-510
1998,-26,26,-511
2000,-24,27,-507
2002,-23,30,-511
2004,-24,26,-509
2007,-25,27,-512
2009,-23,30,-510
2010,-24,30,-511
2012,-24,27,-511
2014,-25,27,-512
2016,-23,28,-512
2018,-24,30,-509
2020,-24,30,-511
2022,-24,28,-511
2024,-23,29,-509
2025,-22,28,-511
2027,-24,26,-510
2029,-23,26,-509
2031,-23,30,-510
2033,-25,26,-513
2035,-23,27,-512
2037,-23,28,-509
2039,-24,30,-510
2040,-25,28,-511
2042,-25,27,-510
2044,-21,29,-511
2046,-23,29,-510
2049,-24,29,-512
2051,-25,28,-508
2053,-23,30,-511
2054,-24,28,-511
2056,-23,29,-511
2058,-27,26,-509
2060,-23,28,-511
2062,-22,30,-511
2064,-23,29,-509
2066,-24,29,-509
2068,-25,30,-510
2069,-25,28,-512
2071,-23,30,-509
2073,-26,27,-509
2075,-23,30,-511
2077,-25,27,-507
2079,-24,28,-508
2081,-26,28,-511
2083,-23,29,-508
2084,-25,27,-508
2086,-25,27,-513
2088,-21,27,-511
2091,-23,30,-511
2093,-25,28,-511
2095,-24,27,-514
2097,-24,30,-508
2099,-24,29,-511
2100,-28,29,-508
2102,-26,32,-508
2104,-23,29,-512
2106,-24,29,-507
2108,-24,26,-510
2110,-22,27,-507
2112,-22,25,-508
2113,-21,25,-510
2115,-24,29,-511
2117,-24,29,-510
2119,-24,30,-512
2121,-25,27,-509
2123,-29,28,-510
2125,-26,26,-510
2127,-24,32,-510
2128,-24,25,-509
2130,-22,30,-511
2132,-24,27,-511
2135,-24,29,-509
2137,-25,28,-509
2139,-24,30,-509
2141,-26,28,-505
2143,-23,28,-513
2144,-23,27,-510
2146,-23,29,-513
2148,-23,26,-509
2150,-26,30,-512
2152,-24,27,-513
2154,-23,29,-510
2156,-24,32,-507
2157,-25,29,-507
2159,-23,27,-509
2161,-22,26,-508
2163,-23,29,-512
2165,-24,26,-509
2167,-21,32,-511
2169,-23,28,-511
2171,-25,29,-511
2172,-25,29,-509
2174,-22,26,-512
2177,-24,27,-512
2179,-24,25,-509
2181,-24,30,-507
2183,-25,28,-511
2185,-23,28,-513
2187,-24,30,-509
2188,-24,28,-511
2190,-24,27,-509
2192,-23,28,-510
2194,-25,25,-510
2196,-26,33,-508
2198,-23,26,-510
2200,-24,29,-511
2202,-25,29,-509
2203,-25,29,-511
2205,-26,31,-511
2207,-25,29,-510
2209,-23,27,-506
2211,-24,26,-510
2213,-25,27,-509
2215,-26,29,-509
2217,-26,29,-510
2219,-25,27,-511
2221,-25,29,-509
2223,-27,29,-509
2225,-25,28,-511
2227,-25,28,-510
2229,-24,26,-509
2231,-24,27,-509
2232,-26,27,-510
2234,-24,30,-509
2236,-29,30,-509
2238,-25,27,-509
2240,-24,27,-511
2242,-24,25,-512
2244,-26,30,-512
2246,-26,30,-510
2247,-22,25,-509
2249,-25,28,-510
2251,-26,28,-510
2253,-24,30,-512
2255,-25,27,-513
2257,-25,29,-512
2259,-26,29,-511
2262,-24,31,-508
2263,-23,26,-510
2265,-22,28,-512
2267,-24,33,-510
2269,-23,30,-510
2271,-26,27,-509
2273,-25,27,-508
2275,-24,31,-511
2276,-22,27,-511
2278,-25,25,-510
2280,-23,26,-509
2282,-27,26,-510
2284,-26,27,-509
2286,-25,27,-507
2288,-24,27,-511
2290,-24,28,-514
2291,-21,27,-513
2293,-22,29,-511
2295,-23,28,-508
2297,-23,28,-510
2299,-23,28,-511
2301,-24,28,-511
2304,-25,30,-509
2306,-25,26,-514
2307,-24,33,-512
2309,-25,29,-510
2311,-25,26,-510
2313,-26,29,-508
2315,-25,26,-510
2317,-24,26,-509
2319,-22,31,-510
2321,-22,27,-507
2322,-25,29,-510
2324,-23,28,-509
2326,-25,27,-508
2328,-24,27,-508
2330,-25,28,-511
2332,-24,27,-509
2334,-26,28,-509
2335,-25,31,-510
2337,-24,26,-513
2339,-24,29,-511
2341,-22,28,-510
2343,-24,27,-510
2345,-24,28,-508
2348,-24,26,-508
2350,-23,25,-511
2351,-22,30,-511
Accel reponse timeout: 4
2365,-23,28,-511
2367,-23,26,-512
2369,-26,30,-510
2370,-22,27,-509
2372,-28,26,-510
2374,-24,27,-510
2376,-24,29,-510
2378,-21,29,-512
